X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.27211839,44.97322511,333,1252602,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,121425,RUTHS CHRIS STEAKHOUSE,920 2nd Ave S SUITE 100,SUITE 100,S,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10383004.72,5617307.311,2.70E+12
-93.26348516,45.01144566,334,564566,L210,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,131115,GASTHOF ZUR GEMUTLICHKEIT,2300 University Ave NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 4000,57:40.9,-10382043.68,5623323.551,1.10E+12
-93.26985367,44.97009716,335,1339149,L208,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,159437,HILTON GARDEN INN,1101 4th Ave S,NULL,S,LIQ ON-SALE A W/SS SERIES 4000,57:40.9,-10382752.62,5616815.123,2.70E+12
-93.26264725,45.0086951,336,1684891,L206,NEW,ON Sale,11/18/2014,2014,12/28/2014,170074,BUFFALO WILD WINGS,2001 University Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 3000,57:19.1,-10381950.4,5622890.456,1.10E+12
-93.26985367,44.97009716,337,1339149,L208,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,164105,HILTON GARDEN INN,1101 4th Ave S,NULL,S,LIQ ON-SALE A W/SS SERIES 4000,57:40.9,-10382752.62,5616815.123,2.70E+12
-93.26264725,45.0086951,338,1684904,L206,NEW,ON Sale,11/18/2014,2014,12/7/2014,170074,BUFFALO WILD WINGS,2001 University Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 3000,57:19.1,-10381950.4,5622890.456,1.10E+12
-93.25485748,44.98471053,339,1423032,L182,PENDING,ON Sale,1/23/2014,2016,1/1/2016,130160,ASTER CAFE,125 Main St SE,NULL,SE,LIQ ON-SALE C-2 W/SS SERIES 1000,03:31.9,-10381083.25,5619114.793,2.30E+12
-93.27269639,44.97137952,340,1631407,L178,APPROVED,ON Sale,1/23/2014,2015,1/1/2015,164750,RADISSON BLU,201 11th St S,NULL,S,LIQ ON-SALE A W/SS SERIES 1000,57:22.4,-10383069.07,5617016.902,2.70E+12
-93.23248382,44.92666573,341,1270956,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,157777,BUSTERS ON 28TH,4204 28th Ave S,NULL,S,WINE E W/STRONG BEER,57:05.8,-10378592.62,5609983.884,1.20E+12
-93.26352702,45.00834288,342,563725,L190,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,130287,JAX CAFE,1922 University Ave NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 2000,57:05.8,-10382048.34,5622834.997,1.10E+12
-93.27940955,44.97478568,343,1560353,L233,PENDING,ON Sale,1/23/2014,2016,1/1/2016,168779,"BULLDOG DOWNTOWN, THE",1111 Hennepin Ave,NULL,NULL,LIQ ON-SALE C-1 W/SS SERIES 1000,03:31.9,-10383816.37,5617552.88,2.70E+12
-93.23673795,45.02024825,344,1456785,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,168140,HAZELS NORTHEAST,2859 Johnson St NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10379066.19,5624709.722,1.20E+12
-93.26187924,45.0073119,345,564697,L216,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,131244,JIMMYS BAR & LOUNGE,1828 4th St NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 4000,57:40.9,-10381864.91,5622672.669,1.10E+12
-93.27975729,44.97464331,346,1522341,L180,PENDING,ON Sale,1/23/2014,2016,1/1/2016,170442,BUTCHER & THE BOAR,1121 Hennepin Ave,NULL,NULL,LIQ ON-SALE B W/SS SERIES 1000,03:31.9,-10383855.08,5617530.478,2.70E+12
-93.23673795,45.02024825,347,1628938,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,173463,PARKWAY PIZZA,2851 Johnson St NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10379066.19,5624709.722,1.20E+12
-93.24774981,45.01289607,348,1322899,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,162423,SEN YAI SEN LEK,2424 Central Ave NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10380292.03,5623551.937,1.10E+12
-93.24788285,45.00741052,349,1596800,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,170872,MAYA CUISINE,1840 Central Ave NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10380306.84,5622688.196,1.10E+12
-93.24680911,45.02022651,350,1655113,L245,APPROVED,ON Sale,6/27/2014,2015,4/1/2015,165067,CHIMBORAZO RESTAURANT,2851 Central Ave NE,NULL,NE,WINE C-2 W/STRONG BEER,56:54.2,-10380187.31,5624706.299,1.20E+12
-93.27792898,44.97663803,351,1365447,L182,PENDING,ON Sale,1/23/2014,2016,1/1/2016,129832,ORPHEUM THEATRE,910 Hennepin Ave,NULL,NULL,LIQ ON-SALE C-2 W/SS SERIES 1000,57:19.1,-10383651.56,5617844.372,2.70E+12
-93.23679542,44.93396859,352,1683416,L247,NEW,ON Sale,11/10/2014,2015,4/1/2015,175100,PILGRIMAGE CAFE,2403 38th St E,NULL,E,WINE E W/STRONG BEER,56:49.5,-10379072.59,5611132.175,1.20E+12
-93.24694896,45.01343475,353,1062469,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,135060,SABOR LATINO RESTAURANT,2505 Central Ave NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10380202.88,5623636.761,1.20E+12
-93.28135053,44.97409308,354,1141865,L186,PENDING,ON Sale,1/23/2014,2016,1/1/2016,142268,ELIS,1225 Hennepin Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,02:25.9,-10384032.44,5617443.893,2.70E+12
-93.24694299,44.92712915,355,1357755,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,164952,CEDAR INN,4155 Cedar Ave S,NULL,S,WINE E W/STRONG BEER,57:05.8,-10380202.21,5610056.749,1.20E+12
-93.24693645,45.01262702,356,1551220,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,171242,KARTA THAI,2411 Central Ave NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10380201.48,5623509.572,1.20E+12
-93.28008282,44.97398832,357,1156170,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,129673,BUCA DI BEPPO,1204 Harmon Pl 1,1,NULL,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10383891.32,5617427.409,2.70E+12
-93.24693486,45.01241704,358,1457904,L182,PENDING,ON Sale,1/23/2014,2016,1/1/2016,149170,ADELITAS MEXICAN RESTAURANT,2405 Central Ave NE,NULL,NE,LIQ ON-SALE C-2 W/SS SERIES 1000,57:19.1,-10380201.31,5623476.506,1.20E+12
-93.24680363,45.01008563,359,1326523,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,170549,LA COLONIA RESTAURANT,2205 Central Ave NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10380186.7,5623109.402,1.20E+12
