X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.245064377596009,45.000947754023258,19,1652313,L311,APPROVED,Off Sale,2014-06-27 00:00:00.000,2015,2015-04-01 00:00:00.000,173729,BAUHAUS BREW LABS,1315 Tyler St NE,NULL,NE,"OFF SALE MALT LIQUOR, SERIES 2000",2014-06-19 00:56:42.903,-10379993.0855,5621670.6919,1302924230000
-93.246692459064107,44.999090782876273,20,1563395,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,171527,612BREW,945 Broadway St NE,NULL,NE,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10380174.3227,5621378.3497,1302924230040
-93.247688893733468,44.917020780042108,21,1350145,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,164735,CORK DORK WINE CO,4726 Cedar Ave S,NULL,S,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10380285.2453,5608467.5522,1402824110090
-93.262401158300321,44.91587780187561,22,1330377,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,121224,KEN AND NORMS LIQUOR,4801 Chicago Ave,NULL,NULL,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10381923.0071,5608287.8755,1402824240020
-93.266531213124722,45.004901601878707,23,562790,L172,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,129919,SENTYRZ LIQUOR & SUPERMARKET,1612 2nd St NE 1ST FLOOR,1ST FLOOR,NE,LIQ OFF-SALE SERIES 3000,2014-07-10 00:56:46.390,-10382382.7627,5622293.1761,1402924220040
-93.266391249315248,45.001116711017367,24,1559175,L313,APPROVED,Off Sale,2014-10-17 00:00:00.000,2015,2015-10-01 00:00:00.000,171315,DANGEROUS MAN BREWING COMPANY,1300 2nd St NE,NULL,NE,"OFF SALE MALT LIQUOR, SERIES 4000",2014-10-09 00:57:21.560,-10382367.182,5621697.2912,1402924230050
-93.25206104273029,44.994324151095441,25,562773,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,129902,GOPHER LIQUOR STORE,335 Monroe St NE,NULL,NE,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10380771.9507,5620627.9842,1402924440040
-93.281334024278976,44.999872525097878,26,1625067,L313,APPROVED,Off Sale,2014-10-31 00:00:00.000,2015,2015-10-01 00:00:00.000,173415,BOOM ISLAND BREWING COMPANY,2014 Washington Ave N,300,N,"OFF SALE MALT LIQUOR, SERIES 4000",2014-10-24 00:57:08.547,-10384030.6041,5621501.4179,1502924240090
-93.288720133343446,44.906535269295695,27,562768,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,129897,SOUTH LYNDALE LIQUORS,5300 Lyndale Ave S,NULL,S,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10384852.822,5606819.359,1602824440130
-93.288518339391274,44.999943572236823,28,1147604,L170,PENDING,Off Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,142643,MERWIN LIQUORS,700 West Broadway,NULL,NULL,LIQ OFF-SALE SERIES 1000,2014-12-04 01:02:38.183,-10384830.3584,5621512.6028,1602924140210
