X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.281334024278976,44.999872525097878,444,1655634,L216,PENDING,ON Sale,2014-06-27 00:00:00.000,2015,2015-10-01 00:00:00.000,173415,BOOM ISLAND BREWING COMPANY,2014 Washington Ave N,300,N,LIQ ON-SALE E W/SS SERIES 4000,2014-11-07 00:57:31.367,-10384030.6041,5621501.4179,1502924240090
-93.226820067587681,44.973777686278325,445,1274601,L237,PENDING,ON Sale,2013-06-28 00:00:00.000,2015,2015-07-01 00:00:00.000,164998,STUB & HERBS,227 Oak St SE,NULL,SE,LIQ ON-SALE C-1 W/SS SERIES 3000,2014-06-04 00:57:06.710,-10377962.1382,5617394.2638,3002923220020
-93.281426874146746,44.998835521196519,446,563430,L178,PENDING,ON Sale,2009-08-28 00:00:00.000,2016,2016-01-01 00:00:00.000,129996,B JS LOUNGE,229 West Broadway,NULL,NULL,LIQ ON-SALE A W/SS SERIES 1000,2014-11-21 00:56:49.010,-10384040.9401,5621338.1647,1502924240100
-93.226820067587681,44.973777686278325,447,1664393,L237,INACTIVE,ON Sale,2014-08-15 00:00:00.000,2014,2014-08-28 00:00:00.000,164998,STUB & HERBS,227 Oak St SE,NULL,SE,LIQ ON-SALE C-1 W/SS SERIES 3000,2014-10-09 00:57:32.920,-10377962.1382,5617394.2638,3002923220020
-93.268137887739627,44.998087687176813,448,961921,L186,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,131224,1029 BAR,1029 Marshall St NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 1000,2014-12-03 01:03:31.910,-10382561.6169,5621220.4367,1502924410000
-93.226022664551024,44.973996959123959,449,1673317,L196,APPROVED,ON Sale,2014-10-03 00:00:00.000,2014,2014-10-12 00:00:00.000,144028,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-09-25 00:57:40.890,-10377873.3717,5617428.7681,3002923220050
-93.267921621029899,44.998560593217839,450,1455195,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,168254,ELEMENT PIZZA,96 Broadway St NE,NULL,NE,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10382537.5422,5621294.8839,1502924410020
-93.308435341204699,44.912159593922034,451,1585290,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,171804,BRODERS TERZO,2221 50th St W,NULL,W,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10387047.5089,5607703.3962,1602824320030
-93.226022664551024,44.973996959123959,452,1673321,L196,APPROVED,ON Sale,2014-10-03 00:00:00.000,2014,2014-10-18 00:00:00.000,144028,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-09-25 00:57:40.890,-10377873.3717,5617428.7681,3002923220050
-93.29043875780566,44.912149866760849,453,1532302,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,168115,GEORGE AND THE DRAGON,813 50th St W,NULL,W,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10385044.1384,5607701.8672,1602824410070
-93.290050865265982,44.912146825193631,454,1483809,L246,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,128413,MALT SHOP,809 50th St W,NULL,W,WINE D W/STRONG BEER,2014-04-17 00:57:05.820,-10385000.9584,5607701.3891,1602824410180
-93.226022664551024,44.973996959123959,455,1335503,L196,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,163579,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-04-17 00:57:05.820,-10377873.3717,5617428.7681,3002923220050
-93.309060175180349,44.912611936907396,456,565386,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,131915,BRODERS CUCINA ITALIANA,2308 50th St W,NULL,W,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10387117.0651,5607774.4997,1702824140160
-93.326132226862043,44.912721385899175,457,1570437,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,171621,RED COW,3624 50th St W,NULL,W,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10389017.5172,5607791.704,1702824230130
-93.226022664551024,44.973996959123959,458,1684000,L196,APPROVED,ON Sale,2014-12-05 00:00:00.000,2014,2014-12-07 00:00:00.000,144028,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-11-20 00:57:30.970,-10377873.3717,5617428.7681,3002923220050
