lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20150000061,DAVANNI'S INC,Wine On Sale ,3/4/2015 00:00:00,3/31/2016 00:00:00,Active            ,6516904848,DAVANNI'S PIZZA & HOT HOAGIES,41 CLEVELAND AVE S ,"ST PAUL, MN 55105-1004","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20150000062,DAVANNI'S INC,Wine On Sale ,3/4/2015 00:00:00,3/31/2016 00:00:00,Active            ,6517386992,DAVANNI'S PIZZA & HOT HOAGIES,310 WHITE BEAR AVE N ,"ST PAUL, MN 55106-6016","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20100004767,DESTINY CAFE 2 CORP,Wine On Sale ,4/2/2012 00:00:00,11/15/2016 00:00:00,Active            ,6517711409,DESTINY CAFE 2 CORP,1151 CLARENCE ST ,"ST PAUL, MN 55106-2809","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20070004584,DESTINY CAFE CORP,Wine On Sale ,9/15/2008 00:00:00,9/15/2016 00:00:00,Active            ,6512093392,DESTINY CAFE CORP,995 UNIVERSITY AVE W STE 106,"ST PAUL, MN 55104","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20140001084,EL BUEN SABOR RESTAURANT LLC,Wine On Sale ,7/10/2014 00:00:00,7/10/2016 00:00:00,Active            ,,EL BUEN SABOR RESTAURANT LLC,201 CESAR CHAVEZ ST ,"ST PAUL, MN 55107-2309","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20010000102,SAGARMATHA ENTERPRISES LLC,Wine On Sale ,7/11/2001 00:00:00,4/1/2016 00:00:00,Active            ,6516961666,EVEREST ON GRAND,1278 GRAND AVE ,"ST PAUL, MN 55105-2604","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0022082,SAYKHAM SENGMAVONG,Wine On Sale ,5/22/2013 00:00:00,10/29/2016 00:00:00,Active            ,6512245026,FAMILY LAO-THAI RESTAURANT,501 UNIVERSITY AVE W ,"ST PAUL, MN 55103-1938","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0011929,D & D OF MINNESOTA INC,Wine On Sale ,7/1/1997 00:00:00,6/30/2016 00:00:00,Active            ,6516998800,FAMOUS DAVE'S BBQ SHACK,1930 7TH ST W ,"ST PAUL, MN 55116-3203","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20010000419,FASIKA INC,Wine On Sale ,6/25/2001 00:00:00,4/1/2016 00:00:00,Active            ,6516464747,FASIKA ETHIOPIAN RESTAURANT,510 SNELLING AVE N ,"ST PAUL, MN 55104-2329","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20120002302,QUALITY INTAKE LLC,Wine On Sale ,8/2/2012 00:00:00,8/2/2016 00:00:00,Active            ,6122695820,FOXY FALAFEL,791 RAYMOND AVE ,"ST PAUL, MN 55114-1522","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20130001546,FRENCH MEADOW ON GRAND LLC,Wine On Sale ,3/11/2014 00:00:00,12/11/2015 00:00:00,Active Pending Ren,6517898870,FRENCH MEADOW BAKERY & CAFE,1662 GRAND AVE ,"ST PAUL, MN 55105-1804","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20120004145,D LISH LLC,Wine On Sale ,2/28/2013 00:00:00,2/14/2016 00:00:00,Active            ,6519641015,GRAND CENTRAL,1672 GRAND AVE ,"ST PAUL, MN 55105-1804","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0012612,GRAND SHANGHAI RESTAURANT & EXPRESS INC,Wine On Sale ,1/1/1996 00:00:00,1/1/2016 00:00:00,Active            ,6516981901,GRAND SHANGHAI RESTAURANT & EXPRESS,1328 GRAND AVE ,"ST PAUL, MN 55105-2607","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20130000597,THIRD WAY INC,Wine On Sale ,5/28/2013 00:00:00,5/28/2016 00:00:00,Active            ,6516456466,GROUNDSWELL,1342 THOMAS AVE ,"ST PAUL, MN 55104-2447","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
19980003516,CLAIRVIEW HOLDINGS LLC,Wine On Sale ,2/7/2001 00:00:00,4/15/2016 00:00:00,Active            ,6516995058,GROVELAND TAP,1834 ST CLAIR AVE ,"ST PAUL, MN 55105-1641","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20150001529,HEIRLOOM KITCHEN AND BAR LLC,Wine On Sale ,7/27/2015 00:00:00,7/27/2016 00:00:00,Pending           ,7638073693,HEIRLOOM KITCHEN AND BAR LLC,2186 MARSHALL AVE ,"ST PAUL, MN 55104-5758","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20070001335,HIGHLAND CAFE AND BAKERY INC,Wine On Sale ,4/15/2008 00:00:00,3/1/2016 00:00:00,Active            ,6516983400,HIGHLAND CAFE & BAKERY,2012 FORD PKWY ,"ST PAUL, MN 55116-1931","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0040612,BLUE PLATE RESTAURANT CO INC,Wine On Sale ,12/7/1994 00:00:00,8/26/2016 00:00:00,Active            ,6516901173,HIGHLAND GRILL & CAFE,771 CLEVELAND AVE S ,"ST PAUL, MN 55116-1348","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0084258,HO HO GOURMET INC,Wine On Sale ,6/15/1990 00:00:00,1/15/2016 00:00:00,Active            ,6517310316,HO HO GOURMET RESTAURANT,1985 OLD HUDSON ROAD ,"ST PAUL, MN 55119-4395","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20090000045,TASTE OF INDIA OF ST LOUIS PARK INC,Wine On Sale ,3/25/2009 00:00:00,12/31/2015 00:00:00,Active            ,6129780625,INDIA HOUSE,758 GRAND AVE ,"ST PAUL, MN 55105-3382","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20100005174,INDOCHIN CORP,Wine On Sale ,4/7/2011 00:00:00,12/31/2015 00:00:00,Active            ,6516902728,INDOCHIN,1702 GRAND AVE ,"ST PAUL, MN 55105-1806","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20120000345,IPHO BY SAIGON INC,Wine On Sale ,12/4/2012 00:00:00,1/13/2016 00:00:00,Active            ,6512258751,IPHO BY SAIGON,704 UNIVERSITY AVE W ,"ST PAUL, MN 55104-4803","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20050003881,JARO INVESTMENTS INC,Wine On Sale ,1/1/2006 00:00:00,1/1/2016 00:00:00,Active            ,6512210093,ITALIAN PIE SHOPPE & WINERY,1670 GRAND AVE ,"ST PAUL, MN 55105-1804","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
