lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20040004319,METRO LIQUOR WAREHOUSE INC,Liquor Off Sale,6/28/2005 00:00:00,6/28/2016 00:00:00,Active            ,6517746033,METRO LIQUOR WAREHOUSE,854 7TH ST E ,"ST PAUL, MN 55106-4517",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0016385,F T L CORPORATION,Liquor Off Sale,11/22/1996 00:00:00,1/31/2016 00:00:00,Active            ,6517300377,MGM LIQUOR WAREHOUSE,275 WHITE BEAR AVE N ,"ST PAUL, MN 55106-6026",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20110004129,MIDWAY LIQUOR STORE INC,Liquor Off Sale,12/15/2011 00:00:00,12/15/2015 00:00:00,Active Pending Ren,6516447900,MIDWAY LIQUOR STORE,1955 UNIVERSITY AVE W UNIT 104,"ST PAUL, MN 55104",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0016256,MINNEHAHA LIQUOR STORE INC,Liquor Off Sale,11/22/1996 00:00:00,1/31/2016 00:00:00,Active            ,6514888706,MINNEHAHA LIQUOR,945 MINNEHAHA AVE W ,"ST PAUL, MN 55104-1544",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0016113,"MORELLI'S DISCOUNT LIQUOR, MEATS, & ITAL",Liquor Off Sale,11/22/1996 00:00:00,1/31/2016 00:00:00,Active            ,6517745961,MORELLI'S DISCOUNT LIQUOR,535 TEDESCO ST ,"ST PAUL, MN 55130",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0086811,RAD INC,Liquor Off Sale,2/28/1994 00:00:00,10/31/2016 00:00:00,Active Pending Ren,6516455555,PARK LIQUOR STORE,140 SNELLING AVE N ,"ST PAUL, MN 55104-6746",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000654,RADEMACHER ENTERPRISES INC,Liquor Off Sale,4/22/2013 00:00:00,4/22/2016 00:00:00,Active            ,6517740307,PARKWAY LIQUOR BARREL,301 WHEELOCK PKWY E ,"ST PAUL, MN 55130",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20140001898,PAYNE AVENUE WINE & SPIRITS INC,Liquor Off Sale,9/8/2014 00:00:00,9/8/2016 00:00:00,Active            ,6513407552,PAYNE AVENUE WINE & SPIRITS,980 PAYNE AVE ,"ST PAUL, MN 55130-3902",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120000515,PERRIER ON GRAND INC,Liquor Off Sale,4/29/2012 00:00:00,4/29/2016 00:00:00,Active            ,6514527420,PERRIER WINES & LIQUORS,666 GRAND AVE ,"ST PAUL, MN 55105-3402",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20110002041,REBORN LIQUOR CORP,Liquor Off Sale,9/21/2011 00:00:00,8/3/2016 00:00:00,Active            ,6512360587,REBORN LIQUOR,137 MARYLAND AVE W ,"ST PAUL, MN 55117-4528",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000742,REVIVAL SPIRITS INC,Liquor Off Sale,4/18/2014 00:00:00,1/1/2016 00:00:00,Active            ,6517973094,REVIVAL WINE BEER AND SPIRITS,141 4TH ST E STE 220,"ST PAUL, MN 55101",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120005384,SUNGAL INC,Liquor Off Sale,1/27/2013 00:00:00,1/27/2016 00:00:00,Active            ,6127037021,RITE LIQUOR,645 SNELLING AVE S ,"ST PAUL, MN 55116-1531",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20150000459,FERMAT INC,Liquor Off Sale,4/24/2015 00:00:00,1/31/2016 00:00:00,Active            ,6516904434,SCOTT'S LIQUOR,1464 ST CLAIR AVE ,"ST PAUL, MN 55105-2339",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
19980007002,SELBY WINES & SPIRITS INC,Liquor Off Sale,7/1/2000 00:00:00,6/28/2016 00:00:00,Active            ,6516020500,SELBY WINES & SPIRITS,778 SELBY AVE ,"ST PAUL, MN 55104-6618",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120005702,SEVENTH STREET LIQUOR INC,Liquor Off Sale,2/28/2013 00:00:00,7/1/2016 00:00:00,Active            ,6512226811,SEVENTH STREET LIQUOR BARREL,665 7TH ST W ,"ST PAUL, MN 55102-3123",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
19990006428,SHOKER ENTERPRISES INC,Liquor Off Sale,1/3/2000 00:00:00,1/1/2016 00:00:00,Active            ,6517311188,SHAMROCK PLAZA LIQUOR,289 MCKNIGHT ROAD S ,"ST PAUL, MN 55119",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0016227,SHARRETT'S INC,Liquor Off Sale,11/22/1996 00:00:00,1/31/2016 00:00:00,Active            ,6516458629,SHARRETT'S LIQUORS,2389 UNIVERSITY AVE W ,"ST PAUL, MN 55114-1507",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0023159,ANN DRAGICEVICH,Liquor Off Sale,6/13/1986 00:00:00,7/31/2016 00:00:00,Active            ,6516466171,SNELLING AVE FINE WINES,500 SNELLING AVE N ,"ST PAUL, MN 55104-2329",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120001334,SOLO VINO LLC,Liquor Off Sale,7/1/2012 00:00:00,7/1/2016 00:00:00,Active            ,6516029515,SOLO VINO,517 SELBY AVE ,"ST PAUL, MN 55102-1728",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0014046,GENERAL LEE'S INC,Liquor Off Sale,2/1/1986 00:00:00,5/31/2016 00:00:00,Active            ,6512278081,STRANSKY'S LIQUOR STORE,1545 7TH ST W ,"ST PAUL, MN 55102-4243",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
